Villa de Clara Vista,"5300 NE Cully Portland, OR",178,146,32,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,FAM FW IND,"LIHTC, Project Based Vouchers",small_green,3,,
Villa de Suenos,"6444-6808 NE Killingsworth Portland, OR",28,18,10,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,LF,"LIHTC, Project Based Vouchers",small_green,3,,
"Village at the Headwaters, The","3131 SW Marigold  Portland, OR",56,32,14,Cascade Mgmt,503-682-7788,http://www.cascade-management.com/,ELD HOM,"LIHTC, Project Based Vouchers",small_green,3,,
Village Quarter,"333 NE Irvine McMinnville, OR",50,42,8,Yamhill Co HA,971-237-3362,,ELD,"LIHTC, Project Based Vouchers",small_green,3,,
Village Square,"1625 SE Roberts Ave Gresham, OR",72,58,4,,503-223-6327,,DIS FAM,"LIHTC, Project Based Vouchers",small_green,3,,
"Watershed at Hillsdale, The","6388 SW Capitol Hwy Portland, OR",51,11,40,Income Property Management Co.,503-223-6327,http://www.ipmco.com/,ELD HOM,"LIHTC, Project Based Vouchers",small_green,3,,
West Gresham Apartments,"17257 E Burnside Street Portland, OR",27,2,25,Cascadia Behavioral Healthcare,503-412-6430,http://www.cascadiabhc.org/,DIS,"LIHTC, Project Based Vouchers",small_green,3,,
Willow Tree Housing,"311 NE Division Street Gresham, OR",17,14,3,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,FAM HOM,"LIHTC, Project Based Vouchers",small_green,3,,
Pine Street,"1316 SE Pine St Portland, OR",0,0,1,,,,,Project Based Vouchers,small_green,3,,
Mainstream - Lafayette,"8278 SE Lafayette Portland, OR",0,0,4,,,,,Project Based Vouchers,small_green,3,,
Village Court,"17899 NE Oregon Portland, OR",0,0,2,,,,,Project Based Vouchers,small_green,3,,
PCRI Scattered Sites,"scattered Portland, OR",0,0,27,,,,,Project Based Vouchers,small_green,3,,
Cornerstone,"1134 SW Jefferson Portland, OR",0,0,4,,,,,Project Based Vouchers,small_green,3,,
Mainstream - Alberta,"509 NE Alberta Portland, OR",0,0,22,,,,,Project Based Vouchers,small_green,3,,
Ashcreek Commons,"11230 SW 62 Ave Portland, OR",0,0,5,,,,,Project Based Vouchers,small_green,3,,
Rose Scattered sites,"scattered Portland, OR",0,0,6,,,,,Project Based Vouchers,small_green,3,,
Green Tree Court,"2405 SE 142 Portland, OR",0,0,7,,,,,Project Based Vouchers,small_green,3,,
Mira Flores,"8901 North Newell Portland, OR",0,0,8,,,,,Project Based Vouchers,small_green,3,,
Howard House,"2644 SE Powell Blvd Portland, OR",0,0,12,,,,,Project Based Vouchers,small_green,3,,
Sacred Heart Villa,"3911 SE Milwaukie Portland, OR",0,0,12,,,,,Project Based Vouchers,small_green,3,,
Sandy Apts,"11401 NE Sandy Blvd Portland, OR",0,0,14,,,,,Project Based Vouchers,small_green,3,,
Rockwood Station,"19100 East Burnside Portland, OR",0,0,20,,,,,Project Based Vouchers,small_green,3,,
Cambridge Court,"5224 North Vancouver Portland, OR",0,0,20,,,,,Project Based Vouchers,small_green,3,,
12th Ave Terrace,"1515 SW 12 Ave Portland, OR",0,0,118,,,,,Project Based Vouchers,small_green,3,,
Living On-Track,"240 Beatty St, Medford OR ,",0,0,20,,,,,Project Based Vouchers,small_green,3,,
Permanent Living Using Supportive Services,"10843-47 SW Hall Blvd., Tigard OR  97223",0,0,12,,,,,Project Based Vouchers,small_green,3,,
Jardinez de la Paz,"5530 NE 60th Ave., Portland, OR 97218",0,0,10,Hacienda CDC,,,,Project Based Vouchers,small_green,3,,
Briarwood East,Portland,0,0,10,,,,,Project Based Vouchers,small_green,3,,
Rockwood Building Apts,NE 181st & Couch Portland OR,0,0,15,,,,,Project Based Vouchers,small_green,3,,
Tom Brewer Recovery Center,"13286 SW Henry St., Beaverton, OR  97005",0,0,13,,,,,Project Based Vouchers,small_green,3,,
Rogue Retreat,,0,0,0,,,,,Project Based Vouchers,small_green,3,,
FISCHER COURT I,"1810-1 32nd Place, NE SALEM, OR",48,1,47,,503-585-0800,,,HUD Multifamily,small_purple,1,,
GATEWAY APARTMENTS,"125 GATEWAY BLVD COTTAGE GROVE, OR",37,0,37,,503-585-0800,,,HUD Multifamily,small_purple,1,,
FAIRVIEW ARMS APARTMENTS,"305 Seventh ST FAIRVIEW, OR",45,1,44,"Affinity Property Management, LLC",503-892-0099,http://www.affinityproperty.com/,,HUD Multifamily,small_purple,1,,
"PINES APARTMENTS, THE","110 SE 188th Ave GRESHAM, OR",66,19,47,"Affinity Property Management, LLC",(503)892-0099,http://www.affinityproperty.com/,,HUD Multifamily,small_purple,1,,
"PINES APARTMENTS, THE","110 SE 188th Ave GRESHAM, OR",66,53,13,"Affinity Property Management, LLC",(503)892-0099,http://www.affinityproperty.com/,,HUD Multifamily,small_purple,1,,
PARKSIDE COURT,"705 SE 24th AVE ALBANY, OR",40,32,8,Albany Partnership for Housing & Community Develop,541-926-5451,,,HUD Multifamily,small_purple,1,,
ONTARIO VILLA,"630-3 SW 24TH ST ONTARIO, OR",13,0,13,Bates & Hill development,(541) 889-9113,,,HUD Multifamily,small_purple,1,,
COBURG ROAD APARTMENTS,"1121 Coburg RD EUGENE, OR",35,0,35,BENNETT MANAGEMENT COMPANY,541-485-6991,,,HUD Multifamily,small_purple,1,,
Hawthorn Apartments,"2988 Oak Street EUGENE, OR",35,0,35,BENNETT MANAGEMENT COMPANY,541-485-6991,,,HUD Multifamily,small_purple,1,,
GOOD SHEPHERD I,"3601 NE 141st Ave Portland, OR",5,0,5,Bethesda Lutheran Communities,800-369-4636,,,HUD Multifamily,small_purple,1,,
BRIARWOOD MANOR,"643 MANBRIN ST NE SALEM, OR",10,0,10,Cambridge Real Estate Services,(503) 450-0230,http://cresapts.com/,,HUD Multifamily,small_purple,1,,
GLENWOOD MANOR,"1687 NW DIVISION ST CORVALLIS, OR",60,0,60,Cambridge Real Estate Services,(503) 450-0230,http://cresapts.com/,,HUD Multifamily,small_purple,1,,
MILLWOOD MANOR,"2550 14th Ave SE Albany, OR",46,0,46,Cambridge Real Estate Services,(503) 450-0230,http://cresapts.com/,,HUD Multifamily,small_purple,1,,
SURFWOOD MANOR,"4545 SW HIGHWAY 101 LINCOLN CITY, OR",48,0,48,Cambridge Real Estate Services,(503) 450-0230,http://cresapts.com/,,HUD Multifamily,small_purple,1,,
ALBERTA STREET APTS,"5010 NE 19th AVE PORTLAND, OR",24,14,10,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
ALBINA PLAZA,"3965 N ALBINA AVE PORTLAND, OR",8,0,8,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
ALOHA PROJECT,"4455 SW 184th Avenue ALOHA, OR",10,0,10,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
AVENUE PLAZA,"5025-1 NE 8TH AVE PORTLAND, OR",22,0,22,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
BAYBRIDGE APARTMENTS,"183 Norman Avenue COOS BAY, OR",22,1,21,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
A. PHILIPS SQUARE,"606 NE SACRAMENTO ST PORTLAND, OR",18,0,18,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
L. ROY GARDENS,"735 N FREMONT ST PORTLAND, OR",18,0,18,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
COLUMBIA HILLS RETIREMENT CENTER,"36050 Pittsburg Rd Saint Helens, OR",33,1,32,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
COTTONWOOD I,"610 SE 6th ST HERMISTON, OR",22,0,22,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
COTTONWOOD II,"750 SE Sixth ST HERMISTON, OR",24,0,24,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
EAST COUNTY PROJECT,"17527 SE Pine ST PORTLAND, OR",7,1,6,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
EMERSON PLAZA,"5312 NE 13TH AVE PORTLAND, OR",16,0,16,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
ESTATES PLAZA,"5421 NE 14TH PL PORTLAND, OR",9,0,9,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
GOLDEN RAIN APARTMENTS,"845 NE VICTORIA ST GRANTS PASS, OR",38,0,38,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
GRASSHOPPER VILLAGE,"940-1 N LOCUST ST PRINEVILLE, OR",22,0,22,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
HERMISTON PROJECT,"675 W Madrona ST HERMISTON, OR",10,0,10,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
HILLHOUSE,"1900 HILL ST SE, #17 ALBANY, OR",40,6,34,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
HOLGATE PROJECT,"12012 S E HOLGATE BLVD PORTLAND, OR",10,0,10,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
HOLLYFIELD VILLAGE,"4077 SW SUNSET DR LAKE OSWEGO, OR",30,0,30,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
M. CARTER PLAZA,"626 NE BRAZEE STREET PORTLAND, OR",56,0,56,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
JEFFERSON COURT,"810 NE Victoria Street GRANTS PASS, OR",24,0,24,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
KING DISHMAN,"101 NE Knott ST PORTLAND, OR",14,0,14,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
MARLA MANOR,"644-3 SE 148TH AVE PORTLAND, OR",25,0,25,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
MATTIE YOUNKIN MANOR,"2400 NE 27th Street GRESHAM, OR",36,1,35,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
MILL CREEK APARTMENTS,"182 MOLLY ST GLENDALE, OR",17,0,17,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
MULTNOMAH MANOR,"9110-1 NE HASSALO ST PORTLAND, OR",54,24,30,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
OAK HILL APARTMENTS,"3837 12TH ST SE SALEM, OR",56,45,11,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
OREGON CITY TERRACE,"600 May ST OREGON CITY, OR",48,1,47,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
PARK TERRACE,"315 N ALBERTA ST PORTLAND, OR",88,53,35,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
POWELL VISTA MANOR,"4125 SE 182ND AVE GRESHAM, OR",71,1,70,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
QUIMBY STREET APARTMENTS,"455 NE QUIMBY ST BEND, OR",52,0,52,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
RIDGEWAY VILLAGE,"725 W Ridgeway Ave HERMISTON, OR",40,0,40,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
ROGUE TERRACE,"641 N RIVER RD ROGUE RIVER, OR",32,0,32,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
ROSEBURG PROJECT,"2937 W Jay ST ROSEBURG, OR",10,0,10,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
ROSELYN APARTMENTS,"424 NW 21ST AVE PORTLAND, OR",31,0,31,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
SPRING STREET APARTMENTS,"750 SPRING ST MEDFORD, OR",56,0,56,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
ST. JOHNS WOODS,"8652 SWIFT WAY PORTLAND, OR",124,0,124,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
SAGINAW VILLAGE,"605 N SAGINAW AVE HINES, OR",30,0,30,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
SAMARITAN VILLAGE,"285 NW 35TH ST CORVALLIS, OR",84,59,25,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
SANTIAM TERRACE,"855 Chicago St SE Albany, OR",56,0,56,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
SENECA TERRACE,"11802 FULLER RD MILWAUKIE, OR",31,0,31,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
SHASTA SQUARE APTS,"519 S SHASTA AVE EAGLE POINT, OR",44,0,44,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
SIUSLAW DUNES,"1750 43RD Ave. FLORENCE, OR",45,0,45,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
SPENCER HOUSE,"13665 SW LARCH PL BEAVERTON, OR",48,10,38,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
CARITAS PLAZA,"2830 N WILLIAMS AVE PORTLAND, OR",30,1,29,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
CARITAS VILLA,"16050 E BURNSIDE PORTLAND, OR",30,0,30,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
STAFFORD SQUARE II,"724-2 NW 4th ST REDMOND, OR",12,0,12,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
TRIPLE J  APARTMENTS,"247 LORRAINE AVE EAGLE POINT, OR",8,0,8,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
UPSHUR HOUSE,"2650-1 NW UPSHUR ST PORTLAND, OR",30,0,30,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
VALLEY VILLAGE,"510 W SCHUMACHER STREET CAVE JUNCTION, OR",16,0,16,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
VICTORIAN ARMS,"830-A NE VICTORIA ST GRANTS PASS, OR",16,0,16,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
WALNUT COURT,"842 NE 2nd St Corvallis, OR",24,0,24,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
WESTSIDE VILLAGE,"WESTSIDE VILLAGE THE DALLES, OR",44,0,44,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
333 Oak Apartments,"333 SW OAK ST PORTLAND, OR",90,0,90,Cascade Management Corp.,503-682-7788,http://www.cascade-management.com/,,HUD Multifamily,small_purple,1,,
